query_timestamp_utc,icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
2026-07-15 21:09:57.360128+00:00,394a06,AFR84E,France,1784149787,1784149788,-122.381,37.6223,,True,0.0,267.19,,,,1372,False,0
2026-07-15 21:14:57.590656+00:00,394a06,AFR84E,France,1784150027,1784150027,-122.3802,37.6189,,True,7.72,126.56,,,,1372,False,0
2026-07-15 21:09:57.360128+00:00,406ec9,BAW5L,United Kingdom,1784149790,1784149790,-122.1308,37.4596,1539.24,False,102.19,25.02,-8.13,,1607.82,3136,False,0
2026-07-15 21:14:57.590656+00:00,406ec9,BAW5L,United Kingdom,1784150090,1784150090,-122.315,37.5958,236.22,False,62.82,297.82,-2.6,,220.98,3136,False,0
2026-07-15 21:14:57.590656+00:00,4aca63,SAS935,Sweden,1784150090,1784150090,-122.6918,37.9632,4610.1,False,177.84,167.13,-8.78,,4838.7,5624,False,0
2026-07-15 21:09:57.360128+00:00,71c389,APZ111,Republic of Korea,1784149790,1784149790,-122.2112,37.5522,1082.04,False,84.44,297.19,-10.08,,1120.14,1454,False,0
2026-07-15 21:14:57.590656+00:00,71c389,APZ111,Republic of Korea,1784150087,1784150090,-122.3808,37.6223,,True,0.0,255.94,,,,1454,False,0
2026-07-15 21:09:57.360128+00:00,89655b,UAE51N,United Arab Emirates,1784149790,1784149790,-122.5837,37.8148,3825.24,False,157.03,140.05,-7.48,,4023.36,3363,False,0
2026-07-15 21:14:57.590656+00:00,89655b,UAE51N,United Arab Emirates,1784150090,1784150090,-122.3126,37.5164,2766.06,False,132.55,154.73,-4.88,,2910.84,3363,False,0
2026-07-15 21:14:57.590656+00:00,a014c9,AAL148,United States,1784150078,1784150083,-122.3859,37.6102,,True,0.0,337.5,,,,,False,0
2026-07-15 21:09:57.360128+00:00,a017c9,FDX3884,United States,1784149790,1784149790,-122.2186,37.7166,,True,0.0,137.81,,,,1552,False,0
2026-07-15 21:14:57.590656+00:00,a017c9,FDX3884,United States,1784150087,1784150087,-122.2186,37.7166,,True,0.0,137.81,,,,1552,False,0
2026-07-15 21:14:57.590656+00:00,a01fdf,N107MY,United States,1784150090,1784150090,-122.1125,37.4572,,True,4.89,320.62,,,,,False,0
2026-07-15 21:14:57.590656+00:00,a03276,N1111S,United States,1784150090,1784150090,-121.7784,37.2242,1394.46,False,107.19,318.89,-6.5,,1440.18,1373,False,0
